2114.08;Палеонтолог
2114.09;Петролог
2114.1;Седиментолог
2114.11;Сеизмолог
2114.12;Спелеолог
2114.13;Хидрогеолог
2120.01;Актуар
2120.02;Аналитичар оперативних истраживања
2120.03;Аналитичар осигурања
2120.04;Демограф
2120.05;Истраживач у области математике
2120.06;Ликвидатор штета
2120.07;Математичар
2120.08;Статистичар
2120.09;Статистичар биометричар
2120.1;Статистичар истраживач
2120.11;Спортски статистичар
2131.01;Анатом
2131.02;Бактериолог
2131.03;Биокибернетичар
2131.04;Биолог
2131.05;Биомедицински истраживач
2131.06;Биометричар
2131.07;Биотехнолог
2131.08;Биофизичар
2131.09;Биохемичар
2131.1;Ботаничар
2131.11;Генетичар
2131.12;Ембриолог
2131.13;Ентомолог
2131.14;Зоо-бактериолог
2131.15;Зоолог
2131.16;Истраживач у области биологије
2131.17;Ихтиолог
2131.18;Кинолог
2131.19;Медицински биохемичар
2131.2;Микробиолог
2131.21;Молекуларни биолог
2131.22;Молекуларни генетичар
2131.23;Орнитолог
2131.24;Патолог за биљке
2131.25;Таксоном за животиње/биљке
2131.26;Токсиколог
2131.27;Фармаколог
2131.28;Физиолог за животиње/биљке
2131.29;Хидробиолог
2131.3;Хистолог за животиње/биљке
2131.31;Цитолог за животиње/биљке
2132.01;Агроном
2132.02;Инжењер за шумско подручје
2132.03;Истраживач у области пољопривреде
2132.04;Пројектант за израду планских докумената за газдовање шумама/ловиштем
2132.05;Пројектант за шумске саобраћајнице
2132.06;Пројектант озелењавања
2132.07;Саветник за воћарство и виноградарство
2132.08;Саветник за ловну привреду
2132.09;Саветник за ратарство и повртарство
2132.1;Саветник за рибарство
2132.11;Саветник за сточарство и пчеларство
2132.12;Саветник за цвећарство
2132.13;Саветник за шумарство
2132.14;Саветник за заштиту биља
2132.15;Стручњак за гајење дивљачи
2132.16;Стручњак за гајење и заштиту шума
2132.17;Стручњак за генофонд и расадничку производњу
2132.18;Стручњак за коришћење шума и шумских ресурса
2132.19;Стручњак за рибарско подручје
2132.2;Технолог за виноградарство
2132.21;Технолог за воћарство
2132.22;Технолог за исхрану животиња
2132.23;Технолог за повртарство
2132.24;Технолог за ратарство
2132.25;Технолог за селекцију у ратарству и повртарству
2132.26;Технолог за селекцију у сточарству
2132.27;Технолог за сточарство
2132.28;Технолог за цвећарство
2132.29;Технолог заштите биља
2132.3;Технолог заштите шума од ерозије
2132.31;Технолог пољопривредне механизације
2132.32;Технолог пољопривредних мелиорација
2132.33;Технолог припреме производње у шумарству
2133.01;Аналитичар економије животне средине
2133.02;Аналитичар заштите животне средине
2133.03;Аналитичар квалитета ваздуха
2133.04;Аналитичар квалитета воде
2133.05;Ботанички еколог
2133.06;Еколог
2133.07;Проверивач заштите животне средине
2133.08;Саветник за заштиту животне средине
2133.09;Санитарни еколог
2133.1;Стручњак за заштиту животне средине
2133.11;Стручњак за управљање отпадом
2141.01;Индустријски инжењер
2141.02;Инжењер за индустријска постројења
2141.03;Инжењер за индустријску ефикасност
2141.04;Инжењер организације рада
2141.05;Инжењер производње
2141.06;Инжењер студије рада – планер
2142.01;Грађевински аналитичар
2142.02;Грађевински инжењер
2142.03;Грађевински инжењер конструктор
2142.04;Грађевински инжењер конструкција мостоградње
